trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.99, 'e': 0.95}",30,0,-138.7232929523408,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
2,False,"{'a': 0.99, 'e': 0.8999999999999999}",30,0,-81.39889247605639,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.99, 'e': 0.8499999999999999}",20,5,-92.66869276935432,"{0: 9, 1: 0, 2: 3, 3: 2, 4: 1}",1
4,False,"{'a': 0.99, 'e': 0.7999999999999998}",30,12,-39.98051873173873,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
5,False,"{'a': 0.99, 'e': 0.7499999999999998}",25,0,-86.23394218270897,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.99, 'e': 0.6999999999999997}",20,0,-30.974849941595554,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.99, 'e': 0.6499999999999997}",20,0,-70.1261488896363,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
8,False,"{'a': 0.99, 'e': 0.5999999999999996}",20,0,11.130707444856224,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.99, 'e': 0.5499999999999996}",20,0,-144.97676830702136,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.99, 'e': 0.4999999999999996}",25,11,-40.31844354608118,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.99, 'e': 0.4499999999999996}",25,0,-44.54031848247412,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
12,False,"{'a': 0.99, 'e': 0.39999999999999963}",20,0,-45.1239597349294,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.99, 'e': 0.34999999999999964}",20,0,-78.04712182437557,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
14,False,"{'a': 0.99, 'e': 0.29999999999999966}",20,10,-27.42739161909481,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
15,False,"{'a': 0.99, 'e': 0.24999999999999967}",20,0,-6.1087124415663,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.99, 'e': 0.19999999999999968}",25,7,-10.986293566488502,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.99, 'e': 0.1499999999999997}",30,0,-24.373187342357305,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.99, 'e': 0.09999999999999969}",25,18,6.3475878141031465,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.99, 'e': 0.049999999999999684}",35,9,20.452252518992218,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.99, 'e': -3.191891195797325e-16}",20,12,12.15023338027951,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,11,-17.382636894863744,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,2,14.296749691819976,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,8,-75.49138095723927,"{0: 8, 1: 0, 2: 1, 3: 2, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,0,4.403319426962467,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,6.055972379405287,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,7,-3.0526040521135416,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,19,11.818175534552818,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,-4.253812713725097,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",30,1,-147.49726916540095,"{0: 22, 1: 0, 2: 3, 3: 1, 4: 3}",1
10,True,"{'a': 0, 'e': 0}",20,9,-18.74803320919843,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
