trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.992}",20,0,-123.57399777263461,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9840639999999999}",20,0,-98.63922554900124,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9761914879999999}",25,0,-166.5616572617241,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9683819560959999}",20,0,-165.6198439992866,"{0: 10, 1: 2, 2: 3, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9606349004472319}",20,0,-124.73558202424584,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.952949821243654}",30,0,-284.3210084692084,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 5}",0
7,False,"{'a': 0.5, 'e': 0.9453262226737048}",35,4,-124.04324873967681,"{0: 17, 1: 3, 2: 9, 3: 2, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.9377636128923151}",25,0,-155.54088955695607,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9302615039891766}",20,0,-143.8559540341685,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9228194119572632}",35,5,-215.94598506725873,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 4}",1
11,False,"{'a': 0.5, 'e': 0.9154368566616051}",25,0,-72.43574229779962,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9081133618083123}",25,0,-129.44459974778832,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9008484549138458}",20,0,-79.48528584179893,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.893641667274535}",20,10,-33.56554138032487,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 0}",1
